renderer,slot,material,path,shader,baseTexture,baseColor,color,isWhiteNoTexture,isTextureAssigned
"Blender Indoor Scene/Line022",0,"金属白_23690_lilToon","Assets/SceneExport/MaterialsLilToon/金属白_23690_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/094_集成板3_2_ac7dda95dc.png","0.015 0.015 0.015 1.000","0.015 0.015 0.015 1.000",False,True
"Blender Indoor Scene/Line098",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/Line104",0,"No Name_23824_lilToon","Assets/SceneExport/MaterialsLilToon/No Name_23824_lilToon.mat","Universal Render Pipeline/Lit","","1.000 1.000 1.000 1.000","1.000 1.000 1.000 1.000",True,False
"Blender Indoor Scene/Line106",0,"不锈钢_23792_lilToon","Assets/SceneExport/MaterialsLilToon/不锈钢_23792_lilToon.mat","Universal Render Pipeline/Lit","","0.780 0.790 1.000 1.000","0.780 0.790 1.000 1.000",False,False
"Blender Indoor Scene/Line109",0,"Blue_23772_lilToon","Assets/SceneExport/MaterialsLilToon/Blue_23772_lilToon.mat","Universal Render Pipeline/Lit","","0.075 0.479 0.940 1.000","0.075 0.479 0.940 1.000",False,False
"Blender Indoor Scene/Line109",1,"材质.021_23736_lilToon","Assets/SceneExport/MaterialsLilToon/材质.021_23736_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/Line109",2,"材质.003_24298_lilToon","Assets/SceneExport/MaterialsLilToon/材质.003_24298_lilToon.mat","Universal Render Pipeline/Lit","","0.492 0.800 0.267 1.000","0.492 0.800 0.267 1.000",False,False
"Blender Indoor Scene/Line109",3,"Material #80_24258_lilToon","Assets/SceneExport/MaterialsLilToon/Material #80_24258_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/072_贴图 _58_82f5ea1501.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Line109",4,"材质.032_24172_lilToon","Assets/SceneExport/MaterialsLilToon/材质.032_24172_lilToon.mat","Universal Render Pipeline/Lit","","0.327 0.513 0.800 0.353","0.327 0.513 0.800 0.353",False,False
"Blender Indoor Scene/Obj3d66-609108-49-561",0,"Mat3d66-609108-33-753_24108_lilToon","Assets/SceneExport/MaterialsLilToon/Mat3d66-609108-33-753_24108_lilToon.mat","Universal Render Pipeline/Lit","","0.006 0.263 0.020 1.000","0.006 0.263 0.020 1.000",False,False
"Blender Indoor Scene/Obj3d66-609108-49-561",1,"Mat3d66-609108-34-482_24110_lilToon","Assets/SceneExport/MaterialsLilToon/Mat3d66-609108-34-482_24110_lilToon.mat","Universal Render Pipeline/Lit","","0.098 0.035 0.035 1.000","0.098 0.035 0.035 1.000",False,False
"Blender Indoor Scene/Obj3d66-609108-49-561",2,"Mat3d66-609108-35-511_24112_lilToon","Assets/SceneExport/MaterialsLilToon/Mat3d66-609108-35-511_24112_lilToon.mat","Universal Render Pipeline/Lit","","0.500 0.500 0.500 1.000","0.500 0.500 0.500 1.000",False,False
"Blender Indoor Scene/Obj3d66-609108-49-561",3,"Mat3d66-609108-36-104_24114_lilToon","Assets/SceneExport/MaterialsLilToon/Mat3d66-609108-36-104_24114_lilToon.mat","Universal Render Pipeline/Lit","","0.125 0.247 0.047 1.000","0.125 0.247 0.047 1.000",False,False
"Blender Indoor Scene/Rectangle001",0,"材质.021_23736_lilToon","Assets/SceneExport/MaterialsLilToon/材质.021_23736_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/Rectangle004",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/Rectangle006",0,"材质.010_TransparentGlass_21754_lilToon","Assets/SceneExport/MaterialsLilToon/材质.010_TransparentGlass_21754_lilToon.mat","Universal Render Pipeline/Lit","","0.948 0.944 1.000 0.550","0.948 0.944 1.000 0.550",False,False
"Blender Indoor Scene/Rectangle007",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/Sphere002",0,"材质.016_23770_lilToon","Assets/SceneExport/MaterialsLilToon/材质.016_23770_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.135 0.142 1.000","0.800 0.135 0.142 1.000",False,False
"Blender Indoor Scene/Sphere003",0,"材质.016_23770_lilToon","Assets/SceneExport/MaterialsLilToon/材质.016_23770_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.135 0.142 1.000","0.800 0.135 0.142 1.000",False,False
"Blender Indoor Scene/Sphere004",0,"No Name_23824_lilToon","Assets/SceneExport/MaterialsLilToon/No Name_23824_lilToon.mat","Universal Render Pipeline/Lit","","1.000 1.000 1.000 1.000","1.000 1.000 1.000 1.000",True,False
"Blender Indoor Scene/Sphere005",0,"Material #62_23918_lilToon","Assets/SceneExport/MaterialsLilToon/Material #62_23918_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/058_贴图 _39_d35001f6fd.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Sphere006",0,"不锈钢_23792_lilToon","Assets/SceneExport/MaterialsLilToon/不锈钢_23792_lilToon.mat","Universal Render Pipeline/Lit","","0.780 0.790 1.000 1.000","0.780 0.790 1.000 1.000",False,False
"Blender Indoor Scene/Sphere008",0,"材质.020_23732_lilToon","Assets/SceneExport/MaterialsLilToon/材质.020_23732_lilToon.mat","Universal Render Pipeline/Lit","","0.488 0.352 0.219 1.000","0.488 0.352 0.219 1.000",False,False
"Blender Indoor Scene/Sphere008.001",0,"材质.020_23732_lilToon","Assets/SceneExport/MaterialsLilToon/材质.020_23732_lilToon.mat","Universal Render Pipeline/Lit","","0.488 0.352 0.219 1.000","0.488 0.352 0.219 1.000",False,False
"Blender Indoor Scene/图形011",0,"材质.016_23770_lilToon","Assets/SceneExport/MaterialsLilToon/材质.016_23770_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.135 0.142 1.000","0.800 0.135 0.142 1.000",False,False
"Blender Indoor Scene/图形019",0,"Dull_white_23950_lilToon","Assets/SceneExport/MaterialsLilToon/Dull_white_23950_lilToon.mat","Universal Render Pipeline/Lit","","1.000 1.000 1.000 0.380","1.000 1.000 1.000 0.380",False,False
"Blender Indoor Scene/对象003",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/对象004",0,"材质.035_23714_lilToon","Assets/SceneExport/MaterialsLilToon/材质.035_23714_lilToon.mat","Universal Render Pipeline/Lit","","0.098 0.268 0.800 1.000","0.098 0.268 0.800 1.000",False,False
"Blender Indoor Scene/对象005",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/对象006",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/对象009",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/对象010",0,"01 - Default.005_TransparentGlass_21756_lilToon","Assets/SceneExport/MaterialsLilToon/01 - Default.005_TransparentGlass_21756_lilToon.mat","Universal Render Pipeline/Lit","","0.032 0.091 0.180 0.261","0.032 0.091 0.180 0.261",False,False
"Blender Indoor Scene/对象039",0,"01 - Default.005_TransparentGlass_21756_lilToon","Assets/SceneExport/MaterialsLilToon/01 - Default.005_TransparentGlass_21756_lilToon.mat","Universal Render Pipeline/Lit","","0.032 0.091 0.180 0.261","0.032 0.091 0.180 0.261",False,False
"Blender Indoor Scene/对象039",1,"Material #40_24182_lilToon","Assets/SceneExport/MaterialsLilToon/Material #40_24182_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/053_贴图 _14_90bfdaaa22.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象039",2,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/对象039",3,"Material #41_24184_lilToon","Assets/SceneExport/MaterialsLilToon/Material #41_24184_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/054_贴图 _17_4b388e7741.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象039",4,"Material #81_24186_lilToon","Assets/SceneExport/MaterialsLilToon/Material #81_24186_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/075_贴图 _66_8b3a5c12c9.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象045",0,"材质.036_24314_lilToon","Assets/SceneExport/MaterialsLilToon/材质.036_24314_lilToon.mat","Universal Render Pipeline/Lit","","0.079 0.146 0.352 1.000","0.079 0.146 0.352 1.000",False,False
